MEAN TIME TO SEARCH;AVLTree;BSTree ;BTree100;BTree600;LinearHashing40;LinearHashing1000
  20               ;1180.00;1350.00;1140.00 ;650.00  ;590.00         ;3750.00          
  50               ;680.00 ;350.00 ;980.00  ;860.00  ;320.00         ;370.00           
  100              ;280.00 ;300.00 ;980.00  ;1200.00 ;420.00         ;420.00           
  200              ;480.00 ;370.00 ;1130.00 ;2990.00 ;320.00         ;380.00           
  1000             ;354.00 ;434.00 ;1472.00 ;1008.00 ;288.00         ;256.00           
  2500             ;300.00 ;602.00 ;339.00  ;968.00  ;435.00         ;410.00           
  5000             ;421.00 ;995.00 ;404.00  ;1637.00 ;493.00         ;176.00           
  10000            ;470.00 ;742.00 ;2020.00 ;3023.00 ;357.00         ;148.00           
  20000            ;273.00 ;510.00 ;342.00  ;206.00  ;254.00         ;188.00           
  40000            ;347.00 ;583.00 ;268.00  ;248.00  ;645.00         ;799.00           
  60000            ;408.00 ;602.00 ;245.00  ;464.00  ;364.00         ;211.00           
  80000            ;394.00 ;696.00 ;228.00  ;281.00  ;237.00         ;182.00           
  100000           ;565.00 ;994.00 ;769.00  ;404.00  ;189.00         ;135.00           
  200000           ;453.00 ;871.00 ;239.00  ;315.00  ;292.00         ;344.00           
  1000000          ;992.00 ;1448.00;308.00  ;408.00  ;340.00         ;473.00           
  1500000          ;951.00 ;1180.00;416.00  ;733.00  ;205.00         ;588.00           
  2000000          ;2058.00;1626.00;477.00  ;526.00  ;361.00         ;528.00           
  2500000          ;1223.00;1366.00;480.00  ;388.00  ;208.00         ;520.00           
  3000000          ;1092.00;1336.00;674.00  ;589.00  ;297.00         ;492.00           
